State,State_code,Confirmed,Recovered,Deaths,Active
Total,TT,30367153,29422150,398554,534534
Maharashtra,MH,6051633,5809548,121804,117098
Kerala,KL,2910508,2797779,13094,99177
Karnataka,KA,2840428,2719479,34929,85997
Tamil Nadu,TN,2475190,2403349,32506,39335
Andhra Pradesh,AP,1885716,1832971,12671,40074
Uttar Pradesh,UP,1705951,1680428,22577,2946
West Bengal,WB,1498305,1459510,17679,21116
Delhi,DL,1434188,1407832,24977,1379
Chhattisgarh,CT,994077,974725,13438,5914
Rajasthan,RJ,952322,941839,8918,1565
Odisha,OR,909800,874307,4071,31422
Gujarat,GJ,823433,810147,10056,3230
Madhya Pradesh,MP,789771,780187,8954,630
Haryana,HR,768552,757640,9417,1495
Bihar,BR,721654,710238,9584,1831
Telangana,TG,622593,605455,3651,13487
Punjab,PB,595351,575971,16033,3347
Assam,AS,506005,474457,4509,25692
Jharkhand,JH,345525,339463,5113,949
Uttarakhand,UT,339933,324766,7095,2245
Jammu and Kashmir,JK,315298,306177,4316,4805
Himachal Pradesh,HP,201980,196837,3461,1654
Goa,GA,166449,161160,3048,2241
Puducherry,PY,117249,113146,1749,2354
Manipur,MN,69198,62134,1141,5923
Tripura,TR,65767,61450,674,3620
Chandigarh,CH,61656,60685,808,163
Meghalaya,ML,49513,44459,838,4216
Arunachal Pradesh,AR,35571,32716,168,2687
Nagaland,NL,25111,22534,493,1381
Sikkim,SK,20544,17962,307,2023
Mizoram,MZ,20075,16106,93,3876
Ladakh,LA,20038,19565,202,271
Dadra and Nagar Haveli and Daman and Diu,DN,10561,10483,4,43
Lakshadweep,LD,9742,9349,48,306
Andaman and Nicobar Islands,AN,7466,7296,128,42
State Unassigned,UN,0,0,0,0